EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,,,Overall,416,253,163,22,12,10,2,1,1,3,2,1
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"Under $15,000",9,6,3,,,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",112,39,73,8,3,5,1,,1,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",61,27,34,2,,2,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",52,28,24,3,1,2,,,,1,,1
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",38,28,10,1,1,,1,1,,1,1,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",17,12,5,1,1,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",9,7,2,,,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",25,19,6,2,1,1,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",19,16,3,1,1,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",24,23,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",25,23,2,3,3,,,,,1,1,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",16,16,,,,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,National,Canada,0,,"$100,000 and over",5,5,,,,,,,,,,
Provincial Aerospace Ltd.,2004,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,379,225,154,21,11,10,1,1,,2,2,
