EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2002,National,Canada,,,Overall,Full-Time,102,59,43,5,1,4,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Middle and Other Managers,Full-Time,3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Professionals,Full-Time,9,7,2,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,9,8,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,25,24,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Clerical Personnel,Full-Time,9,,9,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,25,,25,3,,3,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,14,13,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Other Manual Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,,,Overall,Part-Time,11,6,5,2,2,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Clerical Personnel,Part-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,4,,4,,,,,,,,,
Provincial Aerospace Ltd.,2002,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,3,3,,2,2,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,85,48,37,5,1,4,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,9,7,2,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,7,6,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,22,21,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,8,,8,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,20,,20,3,,3,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,10,9,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,11,6,5,2,2,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Part-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,4,,4,,,,,,,,,
Provincial Aerospace Ltd.,2002,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,3,3,,2,2,,,,,,,
Jazz Aviation L.P.,2002,National,Canada,,,Overall,Full-Time,557,408,149,9,6,3,26,21,5,45,39,6
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Senior Managers,Full-Time,7,5,2,,,,,,,,,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Middle and Other Managers,Full-Time,33,19,14,,,,,,,1,1,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Professionals,Full-Time,19,10,9,,,,,,,3,3,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Semi-Professionals and Technicians,Full-Time,71,65,6,,,,3,1,2,2,2,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Supervisors,Full-Time,3,1,2,,,,1,1,,,,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Supervisors: Crafts and Trades,Full-Time,9,8,1,,,,,,,,,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Administrative and Senior Clerical Personnel,Full-Time,14,2,12,,,,,,,,,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,211,206,5,4,4,,9,9,,24,23,1
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Clerical Personnel,Full-Time,68,33,35,1,,1,8,6,2,5,2,3
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Intermediate Sales and Service Personnel,Full-Time,70,15,55,2,,2,1,,1,2,1,1
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Semi-Skilled Manual Workers,Full-Time,45,37,8,2,2,,4,4,,6,5,1
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Other Sales and Service Personnel,Full-Time,4,4,,,,,,,,2,2,
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Other Manual Workers,Full-Time,3,3,,,,,,,,,,
Jazz Aviation L.P.,2002,National,Canada,,,Overall,Part-Time,63,23,40,2,,2,1,,1,4,1,3
Jazz Aviation L.P.,2002,National,Canada,451,Air Transport Industries,Semi-Professionals and Technicians,Part-Time,1,,1,,,,,,,,,
