EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,Overall,Full-Time,5,3,2,,,,,,,,,,5,3,2,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,Other Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,Overall,Full-Time,5,3,2,,,,,,,,,,5,3,2,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,Professionals,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,Other Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Overall,Full-Time,13,11,2,,,,,,,,,,13,11,2,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Supervisors,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,3,2,1,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
4186397 Canada Inc.,2011,National,Canada,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,British Columbia,4841,General Freight Trucking,Overall,Full-Time,5,5,,,,,,,,,,,5,5,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,British Columbia,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,British Columbia,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,British Columbia,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Overall,Full-Time,8,6,2,,,,,,,,,,8,6,2,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Supervisors,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
4186397 Canada Inc.,2011,Provincial,Alberta,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
6422217 Canada Inc.,2011,National,Canada,0,,Overall,Full-Time,21,7,14,,,,,,,1,,1,20,6,14,,,,,,,1,,1
6422217 Canada Inc.,2011,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
6422217 Canada Inc.,2011,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,,,
6422217 Canada Inc.,2011,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,11,,11,,,,,,,1,,1
6422217 Canada Inc.,2011,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,,,
6422217 Canada Inc.,2011,Provincial,Ontario,0,,Overall,Full-Time,4,,4,,,,,,,1,,1,4,,4,,,,,,,1,,1
6422217 Canada Inc.,2011,Provincial,Ontario,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,,4,,,,,,,1,,1
6422217 Canada Inc.,2011,Provincial,British Columbia,0,,Overall,Full-Time,4,,4,,,,,,,,,,4,,4,,,,,,,,,
6422217 Canada Inc.,2011,Provincial,British Columbia,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
6422217 Canada Inc.,2011,Provincial,British Columbia,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
6422217 Canada Inc.,2011,Provincial,British Columbia,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
682439 Ontario Inc. (inactive),2011,National,Canada,0,,Overall,Full-Time,50,50,,1,1,,,,,,,,50,50,,1,1,,,,,,,
682439 Ontario Inc. (inactive),2011,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,50,50,,1,1,,,,,,,
682439 Ontario Inc. (inactive),2011,National,Canada,0,,Overall,Part-Time,9,8,1,,,,,,,,,,9,8,1,,,,,,,,,
682439 Ontario Inc. (inactive),2011,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,9,8,1,,,,,,,,,
682439 Ontario Inc. (inactive),2011,Provincial,Ontario,0,,Overall,Full-Time,49,49,,1,1,,,,,,,,49,49,,1,1,,,,,,,
682439 Ontario Inc. (inactive),2011,Provincial,Ontario,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,49,49,,1,1,,,,,,,
682439 Ontario Inc. (inactive),2011,Provincial,Ontario,0,,Overall,Part-Time,9,8,1,,,,,,,,,,9,8,1,,,,,,,,,
682439 Ontario Inc. (inactive),2011,Provincial,Ontario,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,9,8,1,,,,,,,,,
"7922825 Canada Inc., DBA NETRICOM (Inactive)",2011,National,Canada,0,,Overall,Full-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
"7922825 Canada Inc., DBA NETRICOM (Inactive)",2011,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
"7922825 Canada Inc., DBA NETRICOM (Inactive)",2011,Provincial,Ontario,0,,Overall,Full-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
"7922825 Canada Inc., DBA NETRICOM (Inactive)",2011,Provincial,Ontario,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,National,Canada,0,,Overall,Full-Time,3,,3,,,,,,,,,,3,,3,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,Provincial,Ontario,0,,Overall,Full-Time,3,,3,,,,,,,,,,3,,3,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,Provincial,Ontario,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
882819 ONT LTD. (INACTIVE),2011,Provincial,Ontario,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Overall,Full-Time,9,5,4,,,,,,,,,,9,5,4,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Other Manual Workers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Overall,Part-Time,4,2,2,,,,,,,1,,1,4,2,2,,,,,,,1,,1
Access Communications Co-operative Limited,2011,National,Canada,0,,Senior Managers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Middle and Other Managers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Professionals,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Supervisors,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Supervisors: Crafts and Trades,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Skilled Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Skilled Crafts and Trades Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Clerical Personnel,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,,1
Access Communications Co-operative Limited,2011,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Other Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,National,Canada,0,,Other Manual Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Overall,Full-Time,9,5,4,,,,,,,,,,9,5,4,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Senior Managers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Professionals,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Supervisors,Full-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Other Manual Workers,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Overall,Part-Time,4,2,2,,,,,,,1,,1,4,2,2,,,,,,,1,,1
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Senior Managers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Middle and Other Managers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Professionals,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Semi-Professionals and Technicians,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Supervisors,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Supervisors: Crafts and Trades,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Skilled Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Clerical Personnel,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,,1
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Other Sales and Service Personnel,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
Access Communications Co-operative Limited,2011,Provincial,Saskatchewan,0,,Other Manual Workers,Part-Time,,,,,,,,,,,,,,,,,,,,,,,,
ADM Agri-Industries Ltd.,2011,National,Canada,0,,Overall,Full-Time,178,172,6,10,10,,8,8,,35,35,,122,116,6,6,6,,7,7,,12,12,
ADM Agri-Industries Ltd.,2011,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
ADM Agri-Industries Ltd.,2011,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,16,13,3,1,1,,1,1,,1,1,
