Acadia Broadcasting Limited,2016,National,Canada,0,,Overall,Full-Time,5,3,2,,,,,,,1,,1,5,3,2,,,,,,,1,,1
Acadia Broadcasting Limited,2016,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Acadia Broadcasting Limited,2016,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Acadia Broadcasting Limited,2016,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Acadia Broadcasting Limited,2016,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Access Communications Co-operative Limited,2016,National,Canada,0,,Overall,Full-Time,35,29,6,1,,1,,,,11,9,2,33,27,6,1,,1,,,,11,9,2
Access Communications Co-operative Limited,2016,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,5,4,1,1,,1,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,15,13,2,,,,,,,9,7,2
Access Communications Co-operative Limited,2016,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,2,2,
Access Communications Co-operative Limited,2016,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Overall,Part-Time,3,1,2,,,,,,,1,1,,3,1,2,,,,,,,1,1,
Access Communications Co-operative Limited,2016,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Access Communications Co-operative Limited,2016,National,Canada,0,,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Overall,Full-Time,35,29,6,1,,1,,,,11,9,2,33,27,6,1,,1,,,,11,9,2
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Professionals,Full-Time,,,,,,,,,,,,,5,4,1,1,,1,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,15,13,2,,,,,,,9,7,2
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,2,2,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Overall,Part-Time,3,1,2,,,,,,,1,1,,3,1,2,,,,,,,1,1,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Semi-Professionals and Technicians,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Accessible Media Inc.,2016,National,Canada,0,,Overall,Full-Time,11,9,2,,,,3,3,,2,2,,11,9,2,,,,3,3,,2,2,
Accessible Media Inc.,2016,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Accessible Media Inc.,2016,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,2,1,1,,,,1,1,,,,
Accessible Media Inc.,2016,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,8,7,1,,,,2,2,,2,2,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Overall,Full-Time,116,105,11,4,3,1,5,5,,18,17,1,100,89,11,4,3,1,5,5,,15,14,1
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,1,1,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,5,3,2,,,,,,,1,1,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,16,16,,,,,2,2,,1,1,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,8,8,,1,1,,,,,,,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,23,21,2,1,,1,2,2,,5,5,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,18,16,2,1,1,,,,,,,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,Other Manual Workers,Full-Time,,,,,,,,,,,,,26,23,3,1,1,,1,1,,7,6,1
ADM Agri-Industries Ltd.,2016,Provincial,Ontario,0,,Overall,Full-Time,43,39,4,1,1,,2,2,,2,2,,40,36,4,1,1,,2,2,,2,2,
