Provincial Aerospace Ltd.,2017,National,Canada,,,Overall,Full-Time,359,209,150,48,22,26,9,5,4,25,17,8
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,7,6,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,29,19,10,1,1,,,,,2,2,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,28,15,13,1,1,,,,,5,2,3
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,62,54,8,8,6,2,1,1,,5,4,1
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Supervisors,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,7,,7,1,,1,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Skilled Sales and Service Personnel,Full-Time,1,1,,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,42,41,1,3,3,,1,1,,3,3,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,21,12,9,,,,,,,2,2,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,110,15,95,28,5,23,4,,4,5,2,3
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,22,21,1,3,3,,,,,2,2,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,28,24,4,1,1,,3,3,,1,,1
Provincial Aerospace Ltd.,2017,National,Canada,,,Overall,Part-Time,4,,4,3,,3,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,4,,4,3,,3,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,,,Overall,Full-Time,39,30,9,,,,1,1,,4,3,1
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Senior Managers,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,6,5,1,,,,,,,2,2,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Professionals,Full-Time,11,7,4,,,,,,,1,,1
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,9,8,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,1,1,,,,,,,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,2,,2,,,,,,,,,
