591182 Ontario Ltd.,2016,Provincial,Nova Scotia,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,New Brunswick,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Manitoba,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,British Columbia,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Prince Edward Island,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Saskatchewan,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Alberta,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Newfoundland and Labrador,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Yukon,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Northwest Territories,0,,,,,,
591182 Ontario Ltd.,2016,Provincial,Nunavut,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Calgary,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Edmonton,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Halifax,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Montréal,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Regina,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Toronto,0,,15,,,,
591182 Ontario Ltd.,2016,CMA,Vancouver,0,,,,,,
591182 Ontario Ltd.,2016,CMA,Winnipeg,0,,,,,,
6422217 Canada Inc.,2016,National,Canada,0,,401,344,15,2,361
6422217 Canada Inc.,2016,National,Canada,4841,General Freight Trucking,326,,,,
6422217 Canada Inc.,2016,National,Canada,4921,Couriers,75,,,,
6422217 Canada Inc.,2016,Provincial,Ontario,0,,176,,,,
6422217 Canada Inc.,2016,Provincial,Québec,0,,24,,,,
6422217 Canada Inc.,2016,Provincial,Nova Scotia,0,,,,,,
6422217 Canada Inc.,2016,Provincial,New Brunswick,0,,13,,,,
6422217 Canada Inc.,2016,Provincial,Manitoba,0,,18,,,,
6422217 Canada Inc.,2016,Provincial,British Columbia,0,,97,,,,
6422217 Canada Inc.,2016,Provincial,Prince Edward Island,0,,,,,,
6422217 Canada Inc.,2016,Provincial,Saskatchewan,0,,5,,,,
6422217 Canada Inc.,2016,Provincial,Alberta,0,,68,,,,
6422217 Canada Inc.,2016,Provincial,Newfoundland and Labrador,0,,,,,,
6422217 Canada Inc.,2016,Provincial,Yukon,0,,,,,,
6422217 Canada Inc.,2016,Provincial,Northwest Territories,0,,,,,,
6422217 Canada Inc.,2016,Provincial,Nunavut,0,,,,,,
6422217 Canada Inc.,2016,CMA,Calgary,0,,50,,,,
6422217 Canada Inc.,2016,CMA,Edmonton,0,,18,,,,
6422217 Canada Inc.,2016,CMA,Halifax,0,,,,,,
6422217 Canada Inc.,2016,CMA,Montréal,0,,22,,,,
6422217 Canada Inc.,2016,CMA,Regina,0,,5,,,,
6422217 Canada Inc.,2016,CMA,Toronto,0,,172,,,,
6422217 Canada Inc.,2016,CMA,Vancouver,0,,85,,,,
6422217 Canada Inc.,2016,CMA,Winnipeg,0,,18,,,,
A.J. Bus Lines Ltd.,2016,National,Canada,0,,157,27,112,15,154
A.J. Bus Lines Ltd.,2016,National,Canada,4852,Interurban and Rural Bus Transportation,157,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Ontario,0,,157,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Québec,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Nova Scotia,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,New Brunswick,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Manitoba,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,British Columbia,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Prince Edward Island,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Saskatchewan,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Alberta,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Newfoundland and Labrador,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Yukon,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Northwest Territories,0,,,,,,
A.J. Bus Lines Ltd.,2016,Provincial,Nunavut,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Calgary,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Edmonton,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Halifax,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Montréal,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Regina,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Toronto,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Vancouver,0,,,,,,
A.J. Bus Lines Ltd.,2016,CMA,Winnipeg,0,,,,,,
Acadia Broadcasting Limited,2016,National,Canada,0,,137,129,7,0,136
Acadia Broadcasting Limited,2016,National,Canada,5151,Radio and television broadcasting,137,,,,
Acadia Broadcasting Limited,2016,Provincial,Ontario,0,,54,,,,
Acadia Broadcasting Limited,2016,Provincial,Québec,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Nova Scotia,0,,28,,,,
Acadia Broadcasting Limited,2016,Provincial,New Brunswick,0,,55,,,,
Acadia Broadcasting Limited,2016,Provincial,Manitoba,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,British Columbia,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Prince Edward Island,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Saskatchewan,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Alberta,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Newfoundland and Labrador,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Yukon,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Northwest Territories,0,,,,,,
Acadia Broadcasting Limited,2016,Provincial,Nunavut,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Calgary,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Edmonton,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Halifax,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Montréal,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Regina,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Toronto,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Vancouver,0,,,,,,
Acadia Broadcasting Limited,2016,CMA,Winnipeg,0,,,,,,
Access Communications Co-operative Limited,2016,National,Canada,0,,293,213,61,0,274
Access Communications Co-operative Limited,2016,National,Canada,5171,Wired telecommunications carriers,293,,,,
Access Communications Co-operative Limited,2016,Provincial,Ontario,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Québec,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Nova Scotia,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,New Brunswick,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Manitoba,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,British Columbia,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Prince Edward Island,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Saskatchewan,0,,293,,,,
Access Communications Co-operative Limited,2016,Provincial,Alberta,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Newfoundland and Labrador,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Yukon,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Northwest Territories,0,,,,,,
Access Communications Co-operative Limited,2016,Provincial,Nunavut,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Calgary,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Edmonton,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Halifax,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Montréal,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Regina,0,,236,,,,
Access Communications Co-operative Limited,2016,CMA,Toronto,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Vancouver,0,,,,,,
Access Communications Co-operative Limited,2016,CMA,Winnipeg,0,,,,,,
Accessible Media Inc.,2016,National,Canada,0,,118,108,2,6,116
Accessible Media Inc.,2016,National,Canada,5151,Radio and television broadcasting,118,,,,
Accessible Media Inc.,2016,Provincial,Ontario,0,,88,,,,
Accessible Media Inc.,2016,Provincial,Québec,0,,18,,,,
Accessible Media Inc.,2016,Provincial,Nova Scotia,0,,4,,,,
Accessible Media Inc.,2016,Provincial,New Brunswick,0,,,,,,
Accessible Media Inc.,2016,Provincial,Manitoba,0,,,,,,
Accessible Media Inc.,2016,Provincial,British Columbia,0,,3,,,,
Accessible Media Inc.,2016,Provincial,Prince Edward Island,0,,,,,,
Accessible Media Inc.,2016,Provincial,Saskatchewan,0,,,,,,
Accessible Media Inc.,2016,Provincial,Alberta,0,,5,,,,
Accessible Media Inc.,2016,Provincial,Newfoundland and Labrador,0,,,,,,
Accessible Media Inc.,2016,Provincial,Yukon,0,,,,,,
Accessible Media Inc.,2016,Provincial,Northwest Territories,0,,,,,,
Accessible Media Inc.,2016,Provincial,Nunavut,0,,,,,,
Accessible Media Inc.,2016,CMA,Calgary,0,,,,,,
Accessible Media Inc.,2016,CMA,Edmonton,0,,5,,,,
Accessible Media Inc.,2016,CMA,Halifax,0,,4,,,,
Accessible Media Inc.,2016,CMA,Montréal,0,,18,,,,
Accessible Media Inc.,2016,CMA,Regina,0,,,,,,
Accessible Media Inc.,2016,CMA,Toronto,0,,84,,,,
Accessible Media Inc.,2016,CMA,Vancouver,0,,3,,,,
Accessible Media Inc.,2016,CMA,Winnipeg,0,,,,,,
ADM Agri-Industries Ltd.,2016,National,Canada,0,,541,500,5,0,505
ADM Agri-Industries Ltd.,2016,National,Canada,3112,Grain and Oilseed Milling,541,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Ontario,0,,215,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Québec,0,,102,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Nova Scotia,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,New Brunswick,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Manitoba,0,,28,,,,
ADM Agri-Industries Ltd.,2016,Provincial,British Columbia,0,,1,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Prince Edward Island,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Saskatchewan,0,,4,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Alberta,0,,191,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Newfoundland and Labrador,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Yukon,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Northwest Territories,0,,,,,,
ADM Agri-Industries Ltd.,2016,Provincial,Nunavut,0,,,,,,
ADM Agri-Industries Ltd.,2016,CMA,Calgary,0,,90,,,,
ADM Agri-Industries Ltd.,2016,CMA,Edmonton,0,,,,,,
ADM Agri-Industries Ltd.,2016,CMA,Halifax,0,,,,,,
ADM Agri-Industries Ltd.,2016,CMA,Montréal,0,,102,,,,
ADM Agri-Industries Ltd.,2016,CMA,Regina,0,,,,,,
ADM Agri-Industries Ltd.,2016,CMA,Toronto,0,,,,,,
ADM Agri-Industries Ltd.,2016,CMA,Vancouver,0,,1,,,,
ADM Agri-Industries Ltd.,2016,CMA,Winnipeg,0,,22,,,,
Administration portuaire de Montréal,2016,National,Canada,0,,240,238,0,0,238
Administration portuaire de Montréal,2016,National,Canada,4883,Support Activities for Water Transportation,240,,,,
Administration portuaire de Montréal,2016,Provincial,Ontario,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Québec,0,,240,,,,
Administration portuaire de Montréal,2016,Provincial,Nova Scotia,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,New Brunswick,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Manitoba,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,British Columbia,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Prince Edward Island,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Saskatchewan,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Alberta,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Newfoundland and Labrador,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Yukon,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Northwest Territories,0,,,,,,
Administration portuaire de Montréal,2016,Provincial,Nunavut,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Calgary,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Edmonton,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Halifax,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Montréal,0,,240,,,,
Administration portuaire de Montréal,2016,CMA,Regina,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Toronto,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Vancouver,0,,,,,,
Administration portuaire de Montréal,2016,CMA,Winnipeg,0,,,,,,
Aéroports de Montréal,2016,National,Canada,0,,753,650,16,54,720
