Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,,,Overall,732,469,263,48,24,24,24,16,8,34,25,9
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"Under $15,000",2,2,,,,,,,,1,1,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",4,,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",75,33,42,7,3,4,1,1,,8,4,4
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",91,24,67,9,3,6,2,,2,3,1,2
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",75,35,40,4,1,3,4,2,2,4,2,2
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",48,28,20,4,2,2,2,2,,2,2,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",61,36,25,3,2,1,3,,3,,,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",39,24,15,4,2,2,1,,1,3,2,1
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",80,58,22,3,,3,4,4,,2,2,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",60,46,14,2,1,1,3,3,,5,5,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",101,93,8,4,4,,1,1,,4,4,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",58,55,3,3,3,,2,2,,1,1,
Provincial Aerospace Ltd.,2015,Full-Time,National,Canada,0,,"$100,000 and over",37,35,2,3,3,,1,1,,1,1,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,610,381,229,46,23,23,23,15,8,22,17,5
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",4,,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",65,28,37,6,2,4,1,1,,7,4,3
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",77,19,58,9,3,6,2,,2,3,1,2
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",64,29,35,4,1,3,4,2,2,,,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",39,22,17,4,2,2,2,2,,2,2,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",50,29,21,3,2,1,3,,3,,,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",36,22,14,4,2,2,1,,1,1,1,
Provincial Aerospace Ltd.,2015,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",68,49,19,2,,2,4,4,,1,1,
