Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,,,Overall,972,652,320,61,33,28,6,3,3,25,18,7
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"Under $15,000",3,,3,2,,2,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",66,20,46,9,4,5,3,1,2,3,2,1
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",89,26,63,10,1,9,2,1,1,2,1,1
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",44,18,26,4,2,2,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",62,26,36,6,4,2,,,,3,2,1
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",123,86,37,5,3,2,,,,6,6,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",65,41,24,6,4,2,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",99,72,27,2,1,1,1,1,,4,2,2
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",89,68,21,1,,1,,,,1,1,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",140,119,21,7,6,1,,,,2,,2
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",90,81,9,4,3,1,,,,1,1,
Provincial Aerospace Ltd.,2018,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$100,000 and over",102,95,7,5,5,,,,,3,3,
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,,,Overall,122,99,23,,,,,,,6,5,1
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",9,6,3,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",6,3,3,,,,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",11,9,2,,,,,,,1,1,
