Provincial Aerospace Ltd.,2019,National,Canada,,,Overall,Full-Time,153,103,50,19,8,11,2,2,,11,9,2
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,12,9,3,1,,1,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,14,10,4,,,,1,1,,3,1,2
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,33,30,3,,,,,,,4,4,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Supervisors,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,6,3,3,,,,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,16,16,,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,9,5,4,,,,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,35,8,27,15,5,10,,,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,7,7,,2,2,,1,1,,,,
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,15,11,4,,,,,,,3,3,
Provincial Aerospace Ltd.,2019,National,Canada,,,Overall,Part-Time,20,9,11,2,1,1,,,,2,1,1
Provincial Aerospace Ltd.,2019,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,16,5,11,2,1,1,,,,2,1,1
