EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Overall,Full-Time,6,3,3,,,,,,,,,,6,3,3,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Overall,Full-Time,6,3,3,,,,,,,,,,6,3,3,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Senior Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Overall,Full-Time,27,22,5,,,,,,,4,3,1,27,22,5,,,,,,,4,3,1
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Senior Managers,Full-Time,,,,,,,,,,,,,5,5,,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,6,5,1,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Professionals,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,2,2,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Supervisors,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,2,1,1
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,5,5,,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2010,National,Canada,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,Ontario,4841,General Freight Trucking,Overall,Full-Time,2,2,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,Ontario,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,Ontario,4841,General Freight Trucking,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,British Columbia,4841,General Freight Trucking,Overall,Full-Time,4,4,,,,,,,,,,,4,4,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,British Columbia,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,British Columbia,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2010,Provincial,Alberta,4841,General Freight Trucking,Overall,Full-Time,20,16,4,,,,,,,4,3,1,20,16,4,,,,,,,4,3,1
