EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,,,Overall,799,528,271,46,23,23,24,16,8,37,28,9
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",80,25,55,6,3,3,,,,6,4,2
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",76,30,46,7,2,5,1,1,,3,1,2
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",56,22,34,5,,5,3,1,2,6,3,3
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",56,25,31,2,1,1,3,1,2,3,2,1
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",91,62,29,5,3,2,5,2,3,2,2,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",47,32,15,3,2,1,,,,2,2,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",95,71,24,3,1,2,4,4,,3,2,1
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",58,46,12,2,1,1,2,1,1,5,5,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",114,96,18,5,3,2,3,3,,4,4,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",62,58,4,4,4,,1,1,,1,1,
Provincial Aerospace Ltd.,2016,Full-Time,National,Canada,0,,"$100,000 and over",63,61,2,3,3,,2,2,,2,2,
