EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,,,Overall,771,510,261,53,24,29,7,4,3,33,28,5
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"Under $15,000",2,,2,1,,1,,,,,,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",3,,3,2,,2,,,,1,,1
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",23,9,14,4,1,3,,,,2,2,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",95,31,64,10,2,8,,,,5,2,3
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",132,56,76,15,6,9,4,2,2,4,3,1
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",77,47,30,4,4,,,,,1,1,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",44,30,14,2,2,,,,,3,3,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",57,40,17,2,,2,1,,1,3,3,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",51,39,12,3,,3,2,2,,1,1,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",53,42,11,1,,1,,,,3,3,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",82,74,8,4,4,,,,,5,5,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",91,83,8,2,2,,,,,5,5,
Provincial Aerospace Ltd.,2012,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",34,33,1,2,2,,,,,,,
