EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
168886 Canada Inc.,1997,Provincial,Saskatchewan,0,,Overall,Full-Time,2,2,,,,,,,,,,,2,2,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Saskatchewan,0,,Supervisors,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Saskatchewan,0,,Overall,Part-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Saskatchewan,0,,Supervisors,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Alberta,0,,Overall,Full-Time,3,3,,,,,,,,,,,3,3,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Alberta,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
168886 Canada Inc.,1997,Provincial,Alberta,0,,Supervisors,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Overall,Full-Time,19,17,2,,,,,,,1,1,,19,17,2,,,,,,,1,1,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Middle and Other Managers,Full-Time,,,,,,,,,,,,,8,7,1,,,,,,,,,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Professionals,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Supervisors,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Clerical Personnel,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,1,1,
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,1997,Provincial,Ontario,456,Truck Transport Industries,Overall,Full-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,1997,Provincial,Ontario,456,Truck Transport Industries,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,1997,Provincial,British Columbia,456,Truck Transport Industries,Overall,Full-Time,3,3,,,,,,,,1,1,,3,3,,,,,,,,1,1,
4186397 Canada Inc.,1997,Provincial,British Columbia,456,Truck Transport Industries,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
