EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2000,National,Canada,,,Overall,Full-Time,84,65,19,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Middle and Other Managers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Professionals,Full-Time,4,3,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,29,28,1,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Supervisors,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,9,9,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Clerical Personnel,Full-Time,10,5,5,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,8,,8,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,9,8,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Other Sales and Service Personnel,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,,,Overall,Part-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,46,32,14,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,16,15,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Supervisors: Crafts and Trades,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,7,3,4,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,6,,6,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,2,2,,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,,,Overall,Full-Time,150,96,54,2,1,1,,,,5,3,2
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Middle and Other Managers,Full-Time,3,1,2,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Professionals,Full-Time,7,4,3,,,,,,,1,,1
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Semi-Professionals and Technicians,Full-Time,67,64,3,1,1,,,,,2,2,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Supervisors,Full-Time,2,,2,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Administrative and Senior Clerical Personnel,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,15,15,,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Clerical Personnel,Full-Time,9,3,6,,,,,,,1,1,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Intermediate Sales and Service Personnel,Full-Time,41,5,36,1,,1,,,,1,,1
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Semi-Skilled Manual Workers,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2000,National,Canada,451,Air Transport Industries,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
