EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1641-9749 Québec Inc (Inactive),2000,National,Canada,0,,,288,33,0,321
1641-9749 Québec Inc (Inactive),2000,National,Canada,456,Truck Transport Industries,330,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Québec,0,,330,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,New Brunswick,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Manitoba,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,British Columbia,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Prince Edward Island,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Saskatchewan,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Alberta,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Newfoundland and Labrador,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Yukon,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Northwest Territories,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,Provincial,Nunavut,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Calgary,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Edmonton,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Halifax,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Montréal,0,,301,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Regina,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Toronto,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Vancouver,0,,,,,,
1641-9749 Québec Inc (Inactive),2000,CMA,Winnipeg,0,,,,,,
4186397 Canada Inc.,2000,National,Canada,0,,,824,93,0,917
4186397 Canada Inc.,2000,National,Canada,456,Truck Transport Industries,946,,,,
4186397 Canada Inc.,2000,Provincial,Ontario,0,,2,,,,
4186397 Canada Inc.,2000,Provincial,Québec,0,,,,,,
4186397 Canada Inc.,2000,Provincial,Nova Scotia,0,,,,,,
4186397 Canada Inc.,2000,Provincial,New Brunswick,0,,,,,,
4186397 Canada Inc.,2000,Provincial,Manitoba,0,,48,,,,
4186397 Canada Inc.,2000,Provincial,British Columbia,0,,385,,,,
4186397 Canada Inc.,2000,Provincial,Prince Edward Island,0,,,,,,
4186397 Canada Inc.,2000,Provincial,Saskatchewan,0,,25,,,,
4186397 Canada Inc.,2000,Provincial,Alberta,0,,483,,,,
4186397 Canada Inc.,2000,Provincial,Newfoundland and Labrador,0,,,,,,
4186397 Canada Inc.,2000,Provincial,Yukon,0,,3,,,,
4186397 Canada Inc.,2000,Provincial,Northwest Territories,0,,,,,,
4186397 Canada Inc.,2000,Provincial,Nunavut,0,,,,,,
4186397 Canada Inc.,2000,CMA,Calgary,0,,259,,,,
4186397 Canada Inc.,2000,CMA,Edmonton,0,,193,,,,
4186397 Canada Inc.,2000,CMA,Halifax,0,,,,,,
4186397 Canada Inc.,2000,CMA,Montréal,0,,,,,,
4186397 Canada Inc.,2000,CMA,Regina,0,,13,,,,
4186397 Canada Inc.,2000,CMA,Toronto,0,,2,,,,
4186397 Canada Inc.,2000,CMA,Vancouver,0,,241,,,,
4186397 Canada Inc.,2000,CMA,Winnipeg,0,,48,,,,
591182 Ontario Ltd.,2000,National,Canada,0,,,243,39,0,282
591182 Ontario Ltd.,2000,National,Canada,456,Truck Transport Industries,284,,,,
591182 Ontario Ltd.,2000,Provincial,Ontario,0,,284,,,,
591182 Ontario Ltd.,2000,Provincial,Québec,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Nova Scotia,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,New Brunswick,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Manitoba,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,British Columbia,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Prince Edward Island,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Saskatchewan,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Alberta,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Newfoundland and Labrador,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Yukon,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Northwest Territories,0,,,,,,
591182 Ontario Ltd.,2000,Provincial,Nunavut,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Calgary,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Edmonton,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Halifax,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Montréal,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Regina,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Toronto,0,,6,,,,
591182 Ontario Ltd.,2000,CMA,Vancouver,0,,,,,,
591182 Ontario Ltd.,2000,CMA,Winnipeg,0,,,,,,
682439 Ontario Inc. (inactive),2000,National,Canada,0,,,137,36,0,173
682439 Ontario Inc. (inactive),2000,National,Canada,456,Truck Transport Industries,194,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Ontario,0,,194,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Québec,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Nova Scotia,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,New Brunswick,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Manitoba,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,British Columbia,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Prince Edward Island,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Saskatchewan,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Alberta,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Newfoundland and Labrador,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Yukon,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Northwest Territories,0,,,,,,
682439 Ontario Inc. (inactive),2000,Provincial,Nunavut,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Calgary,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Edmonton,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Halifax,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Montréal,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Regina,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Toronto,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Vancouver,0,,,,,,
682439 Ontario Inc. (inactive),2000,CMA,Winnipeg,0,,,,,,
A.J. Bus Lines Ltd.,2000,National,Canada,0,,,33,89,32,154
A.J. Bus Lines Ltd.,2000,National,Canada,457,Public Passenger Transit Systems Industries,155,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Ontario,0,,155,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Québec,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Nova Scotia,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,New Brunswick,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Manitoba,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,British Columbia,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Prince Edward Island,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Saskatchewan,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Alberta,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Newfoundland and Labrador,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Yukon,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Northwest Territories,0,,,,,,
A.J. Bus Lines Ltd.,2000,Provincial,Nunavut,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Calgary,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Edmonton,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Halifax,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Montréal,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Regina,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Toronto,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Vancouver,0,,,,,,
A.J. Bus Lines Ltd.,2000,CMA,Winnipeg,0,,,,,,
