EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,,,Overall,251,180,71,14,4,10,2,2,,4,2,2
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"Under $15,000",4,1,3,,,,,,,1,,1
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",62,28,34,7,,7,1,1,,1,,1
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",50,38,12,3,1,2,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",35,23,12,2,1,1,1,1,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",21,19,2,,,,,,,1,1,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",14,10,4,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",10,8,2,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",14,14,,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",23,21,2,,,,,,,1,1,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,National,Canada,0,,"$100,000 and over",4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,215,152,63,13,4,9,2,2,,3,2,1
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",2,,2,,,,,,,1,,1
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",51,21,30,6,,6,1,1,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",43,31,12,3,1,2,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",30,20,10,2,1,1,1,1,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",18,17,1,,,,,,,1,1,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",14,10,4,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",9,7,2,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",13,13,,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",22,20,2,,,,,,,1,1,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,,,Overall,11,8,3,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"Under $5,000",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"$  5,000 - $ 7,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"$  7,500 - $ 9,999",3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"$ 10,000 - $12,499",3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,11,8,3,1,1,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"Under $5,000",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  5,000 - $ 7,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  7,500 - $ 9,999",3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 10,000 - $12,499",3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2000,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $17,499",2,2,,1,1,,,,,,,
Jazz Aviation L.P.,2000,Full-Time,National,Canada,,,Overall,1265,809,456,5,3,2,16,9,7,21,13,8
Jazz Aviation L.P.,2000,Full-Time,National,Canada,451,Air Transport Industries,"Under $15,000",2,,2,,,,,,,,,
Jazz Aviation L.P.,2000,Full-Time,National,Canada,451,Air Transport Industries,"$ 15,000 - $19,999",4,2,2,1,,1,,,,,,
