EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2018,National,Canada,,,Overall,Full-Time,160,104,56,20,7,13,4,4,,15,11,4
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,3,3,,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,7,6,1,,,,,,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,24,17,7,,,,,,,6,3,3
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,34,30,4,2,,2,1,1,,5,5,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,6,2,4,,,,,,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,13,13,,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,8,5,3,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,36,6,30,12,4,8,,,,1,,1
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,8,8,,2,2,,1,1,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,2,,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,19,14,5,1,,1,1,1,,1,1,
Provincial Aerospace Ltd.,2018,National,Canada,,,Overall,Part-Time,22,16,6,4,3,1,,,,3,2,1
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,10,5,5,2,1,1,,,,1,,1
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Part-Time,6,6,,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2018,National,Canada,4811,Scheduled Air Transportation,Other Manual Workers,Part-Time,3,3,,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,,,Overall,Full-Time,28,24,4,,,,1,1,,4,4,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Senior Managers,Full-Time,1,1,,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Professionals,Full-Time,8,7,1,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,8,8,,,,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,9,7,2,,,,1,1,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,,,Overall,Part-Time,1,1,,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Other Manual Workers,Part-Time,1,1,,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2018,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,92,56,36,18,7,11,2,2,,5,3,2
