EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1507953 Ontario Inc. (Inactive),2005,National,Canada,0,,,129,14,1,144
1507953 Ontario Inc. (Inactive),2005,National,Canada,4841,General Freight Trucking,155,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Ontario,0,,155,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Québec,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Nova Scotia,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,New Brunswick,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Manitoba,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,British Columbia,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Prince Edward Island,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Saskatchewan,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Alberta,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Newfoundland and Labrador,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Yukon,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Northwest Territories,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,Provincial,Nunavut,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Calgary,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Edmonton,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Halifax,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Montréal,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Regina,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Toronto,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Vancouver,0,,,,,,
1507953 Ontario Inc. (Inactive),2005,CMA,Winnipeg,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,National,Canada,0,,,379,43,0,422
1641-9749 Québec Inc (Inactive),2005,National,Canada,4841,General Freight Trucking,440,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Québec,0,,440,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,New Brunswick,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Manitoba,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,British Columbia,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Prince Edward Island,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Saskatchewan,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Alberta,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Newfoundland and Labrador,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Yukon,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Northwest Territories,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,Provincial,Nunavut,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Calgary,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Edmonton,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Halifax,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Montréal,0,,369,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Regina,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Toronto,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Vancouver,0,,,,,,
1641-9749 Québec Inc (Inactive),2005,CMA,Winnipeg,0,,,,,,
4186397 Canada Inc.,2005,National,Canada,0,,,853,112,0,965
4186397 Canada Inc.,2005,National,Canada,4841,General Freight Trucking,977,,,,
4186397 Canada Inc.,2005,Provincial,Ontario,0,,45,,,,
4186397 Canada Inc.,2005,Provincial,Québec,0,,9,,,,
4186397 Canada Inc.,2005,Provincial,Nova Scotia,0,,,,,,
4186397 Canada Inc.,2005,Provincial,New Brunswick,0,,,,,,
4186397 Canada Inc.,2005,Provincial,Manitoba,0,,43,,,,
4186397 Canada Inc.,2005,Provincial,British Columbia,0,,356,,,,
4186397 Canada Inc.,2005,Provincial,Prince Edward Island,0,,,,,,
4186397 Canada Inc.,2005,Provincial,Saskatchewan,0,,29,,,,
4186397 Canada Inc.,2005,Provincial,Alberta,0,,491,,,,
4186397 Canada Inc.,2005,Provincial,Newfoundland and Labrador,0,,,,,,
4186397 Canada Inc.,2005,Provincial,Yukon,0,,4,,,,
4186397 Canada Inc.,2005,Provincial,Northwest Territories,0,,,,,,
4186397 Canada Inc.,2005,Provincial,Nunavut,0,,,,,,
4186397 Canada Inc.,2005,CMA,Calgary,0,,253,,,,
4186397 Canada Inc.,2005,CMA,Edmonton,0,,185,,,,
4186397 Canada Inc.,2005,CMA,Halifax,0,,,,,,
4186397 Canada Inc.,2005,CMA,Montréal,0,,9,,,,
4186397 Canada Inc.,2005,CMA,Regina,0,,16,,,,
4186397 Canada Inc.,2005,CMA,Toronto,0,,43,,,,
4186397 Canada Inc.,2005,CMA,Vancouver,0,,224,,,,
4186397 Canada Inc.,2005,CMA,Winnipeg,0,,43,,,,
591182 Ontario Ltd.,2005,National,Canada,0,,,247,32,0,279
591182 Ontario Ltd.,2005,National,Canada,4841,General Freight Trucking,279,,,,
591182 Ontario Ltd.,2005,Provincial,Ontario,0,,279,,,,
591182 Ontario Ltd.,2005,Provincial,Québec,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Nova Scotia,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,New Brunswick,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Manitoba,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,British Columbia,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Prince Edward Island,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Saskatchewan,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Alberta,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Newfoundland and Labrador,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Yukon,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Northwest Territories,0,,,,,,
591182 Ontario Ltd.,2005,Provincial,Nunavut,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Calgary,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Edmonton,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Halifax,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Montréal,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Regina,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Toronto,0,,10,,,,
591182 Ontario Ltd.,2005,CMA,Vancouver,0,,,,,,
591182 Ontario Ltd.,2005,CMA,Winnipeg,0,,,,,,
682439 Ontario Inc. (inactive),2005,National,Canada,0,,,174,21,0,195
682439 Ontario Inc. (inactive),2005,National,Canada,4841,General Freight Trucking,202,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Ontario,0,,202,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Québec,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Nova Scotia,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,New Brunswick,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Manitoba,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,British Columbia,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Prince Edward Island,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Saskatchewan,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Alberta,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Newfoundland and Labrador,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Yukon,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Northwest Territories,0,,,,,,
682439 Ontario Inc. (inactive),2005,Provincial,Nunavut,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Calgary,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Edmonton,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Halifax,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Montréal,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Regina,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Toronto,0,,202,,,,
682439 Ontario Inc. (inactive),2005,CMA,Vancouver,0,,,,,,
682439 Ontario Inc. (inactive),2005,CMA,Winnipeg,0,,,,,,
A.B. Slag Enterprises,2005,National,Canada,0,,,7,2,0,9
A.B. Slag Enterprises,2005,National,Canada,4885,Freight Transportation Arrangement,9,,,,
A.B. Slag Enterprises,2005,Provincial,Ontario,0,,9,,,,
A.B. Slag Enterprises,2005,Provincial,Québec,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Nova Scotia,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,New Brunswick,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Manitoba,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,British Columbia,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Prince Edward Island,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Saskatchewan,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Alberta,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Newfoundland and Labrador,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Yukon,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Northwest Territories,0,,,,,,
A.B. Slag Enterprises,2005,Provincial,Nunavut,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Calgary,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Edmonton,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Halifax,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Montréal,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Regina,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Toronto,0,,9,,,,
A.B. Slag Enterprises,2005,CMA,Vancouver,0,,,,,,
A.B. Slag Enterprises,2005,CMA,Winnipeg,0,,,,,,
A.J. Bus Lines Ltd.,2005,National,Canada,0,,,32,95,40,167
A.J. Bus Lines Ltd.,2005,National,Canada,4854,School and Employee Bus Transportation,172,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Ontario,0,,172,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Québec,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Nova Scotia,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,New Brunswick,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Manitoba,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,British Columbia,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Prince Edward Island,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Saskatchewan,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Alberta,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Newfoundland and Labrador,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Yukon,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Northwest Territories,0,,,,,,
A.J. Bus Lines Ltd.,2005,Provincial,Nunavut,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Calgary,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Edmonton,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Halifax,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Montréal,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Regina,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Toronto,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Vancouver,0,,,,,,
A.J. Bus Lines Ltd.,2005,CMA,Winnipeg,0,,,,,,
Access Communications Co-operative Limited,2005,National,Canada,0,,,119,64,0,183
Access Communications Co-operative Limited,2005,National,Canada,5132,"Pay TV, Specialty TV and Program Distribution",183,,,,
Access Communications Co-operative Limited,2005,Provincial,Ontario,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Québec,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Nova Scotia,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,New Brunswick,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Manitoba,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,British Columbia,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Prince Edward Island,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Saskatchewan,0,,183,,,,
Access Communications Co-operative Limited,2005,Provincial,Alberta,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Newfoundland and Labrador,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Yukon,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Northwest Territories,0,,,,,,
Access Communications Co-operative Limited,2005,Provincial,Nunavut,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Calgary,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Edmonton,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Halifax,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Montréal,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Regina,0,,183,,,,
Access Communications Co-operative Limited,2005,CMA,Toronto,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Vancouver,0,,,,,,
Access Communications Co-operative Limited,2005,CMA,Winnipeg,0,,,,,,
Active Canada Inc.,2005,National,Canada,0,,,175,0,0,175
Active Canada Inc.,2005,National,Canada,4885,Freight Transportation Arrangement,178,,,,
Active Canada Inc.,2005,Provincial,Ontario,0,,128,,,,
Active Canada Inc.,2005,Provincial,Québec,0,,50,,,,
Active Canada Inc.,2005,Provincial,Nova Scotia,0,,,,,,
Active Canada Inc.,2005,Provincial,New Brunswick,0,,,,,,
Active Canada Inc.,2005,Provincial,Manitoba,0,,,,,,
Active Canada Inc.,2005,Provincial,British Columbia,0,,,,,,
Active Canada Inc.,2005,Provincial,Prince Edward Island,0,,,,,,
Active Canada Inc.,2005,Provincial,Saskatchewan,0,,,,,,
Active Canada Inc.,2005,Provincial,Alberta,0,,,,,,
Active Canada Inc.,2005,Provincial,Newfoundland and Labrador,0,,,,,,
Active Canada Inc.,2005,Provincial,Yukon,0,,,,,,
Active Canada Inc.,2005,Provincial,Northwest Territories,0,,,,,,
Active Canada Inc.,2005,Provincial,Nunavut,0,,,,,,
Active Canada Inc.,2005,CMA,Calgary,0,,,,,,
Active Canada Inc.,2005,CMA,Edmonton,0,,,,,,
Active Canada Inc.,2005,CMA,Halifax,0,,,,,,
Active Canada Inc.,2005,CMA,Montréal,0,,38,,,,
Active Canada Inc.,2005,CMA,Regina,0,,,,,,
Active Canada Inc.,2005,CMA,Toronto,0,,,,,,
Active Canada Inc.,2005,CMA,Vancouver,0,,,,,,
Active Canada Inc.,2005,CMA,Winnipeg,0,,,,,,
Active Transport Inc. (inactive),2005,National,Canada,0,,,92,0,0,92
Active Transport Inc. (inactive),2005,National,Canada,4841,General Freight Trucking,97,,,,
Active Transport Inc. (inactive),2005,Provincial,Ontario,0,,97,,,,
Active Transport Inc. (inactive),2005,Provincial,Québec,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Nova Scotia,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,New Brunswick,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Manitoba,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,British Columbia,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Prince Edward Island,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Saskatchewan,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Alberta,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Newfoundland and Labrador,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Yukon,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Northwest Territories,0,,,,,,
Active Transport Inc. (inactive),2005,Provincial,Nunavut,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Calgary,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Edmonton,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Halifax,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Montréal,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Regina,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Toronto,0,,97,,,,
Active Transport Inc. (inactive),2005,CMA,Vancouver,0,,,,,,
Active Transport Inc. (inactive),2005,CMA,Winnipeg,0,,,,,,
Adby Transport Limited,2005,National,Canada,0,,,103,6,0,109
Adby Transport Limited,2005,National,Canada,4885,Freight Transportation Arrangement,117,,,,
Adby Transport Limited,2005,Provincial,Ontario,0,,,,,,
Adby Transport Limited,2005,Provincial,Québec,0,,,,,,
Adby Transport Limited,2005,Provincial,Nova Scotia,0,,,,,,
Adby Transport Limited,2005,Provincial,New Brunswick,0,,,,,,
Adby Transport Limited,2005,Provincial,Manitoba,0,,,,,,
Adby Transport Limited,2005,Provincial,British Columbia,0,,,,,,
Adby Transport Limited,2005,Provincial,Prince Edward Island,0,,,,,,
Adby Transport Limited,2005,Provincial,Saskatchewan,0,,,,,,
Adby Transport Limited,2005,Provincial,Alberta,0,,117,,,,
Adby Transport Limited,2005,Provincial,Newfoundland and Labrador,0,,,,,,
Adby Transport Limited,2005,Provincial,Yukon,0,,,,,,
Adby Transport Limited,2005,Provincial,Northwest Territories,0,,,,,,
Adby Transport Limited,2005,Provincial,Nunavut,0,,,,,,
Adby Transport Limited,2005,CMA,Calgary,0,,34,,,,
Adby Transport Limited,2005,CMA,Edmonton,0,,83,,,,
Adby Transport Limited,2005,CMA,Halifax,0,,,,,,
Adby Transport Limited,2005,CMA,Montréal,0,,,,,,
Adby Transport Limited,2005,CMA,Regina,0,,,,,,
Adby Transport Limited,2005,CMA,Toronto,0,,,,,,
Adby Transport Limited,2005,CMA,Vancouver,0,,,,,,
Adby Transport Limited,2005,CMA,Winnipeg,0,,,,,,
ADM Agri-Industries Ltd.,2005,National,Canada,0,,,581,28,0,609
ADM Agri-Industries Ltd.,2005,National,Canada,3119,Other Food Manufacturing,610,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Ontario,0,,229,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Québec,0,,137,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Nova Scotia,0,,,,,,
ADM Agri-Industries Ltd.,2005,Provincial,New Brunswick,0,,1,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Manitoba,0,,30,,,,
ADM Agri-Industries Ltd.,2005,Provincial,British Columbia,0,,2,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Prince Edward Island,0,,,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Saskatchewan,0,,5,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Alberta,0,,206,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Newfoundland and Labrador,0,,,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Yukon,0,,,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Northwest Territories,0,,,,,,
ADM Agri-Industries Ltd.,2005,Provincial,Nunavut,0,,,,,,
ADM Agri-Industries Ltd.,2005,CMA,Calgary,0,,84,,,,
ADM Agri-Industries Ltd.,2005,CMA,Edmonton,0,,,,,,
ADM Agri-Industries Ltd.,2005,CMA,Halifax,0,,,,,,
ADM Agri-Industries Ltd.,2005,CMA,Montréal,0,,137,,,,
ADM Agri-Industries Ltd.,2005,CMA,Regina,0,,,,,,
ADM Agri-Industries Ltd.,2005,CMA,Toronto,0,,51,,,,
ADM Agri-Industries Ltd.,2005,CMA,Vancouver,0,,2,,,,
ADM Agri-Industries Ltd.,2005,CMA,Winnipeg,0,,25,,,,
Administration portuaire de Montréal,2005,National,Canada,0,,,321,0,0,321
Administration portuaire de Montréal,2005,National,Canada,4883,Support Activities for Water Transportation,322,,,,
Administration portuaire de Montréal,2005,Provincial,Ontario,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Québec,0,,322,,,,
Administration portuaire de Montréal,2005,Provincial,Nova Scotia,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,New Brunswick,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Manitoba,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,British Columbia,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Prince Edward Island,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Saskatchewan,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Alberta,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Newfoundland and Labrador,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Yukon,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Northwest Territories,0,,,,,,
Administration portuaire de Montréal,2005,Provincial,Nunavut,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Calgary,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Edmonton,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Halifax,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Montréal,0,,321,,,,
Administration portuaire de Montréal,2005,CMA,Regina,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Toronto,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Vancouver,0,,,,,,
Administration portuaire de Montréal,2005,CMA,Winnipeg,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,National,Canada,0,,,847,737,0,1584
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,National,Canada,5616,Investigation and Security Services,2204,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Ontario,0,,349,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Québec,0,,1,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Nova Scotia,0,,19,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,New Brunswick,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Manitoba,0,,149,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,British Columbia,0,,945,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Prince Edward Island,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Saskatchewan,0,,114,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Alberta,0,,582,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Newfoundland and Labrador,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Yukon,0,,18,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Northwest Territories,0,,27,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,Provincial,Nunavut,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Calgary,0,,297,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Edmonton,0,,220,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Halifax,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Montréal,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Regina,0,,51,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Toronto,0,,13,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Vancouver,0,,701,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2005,CMA,Winnipeg,0,,126,,,,
Aéroports de Montréal,2005,National,Canada,0,,,532,3,59,594
Aéroports de Montréal,2005,National,Canada,4881,Support Activities for Air Transportation,613,,,,
Aéroports de Montréal,2005,Provincial,Ontario,0,,,,,,
Aéroports de Montréal,2005,Provincial,Québec,0,,613,,,,
Aéroports de Montréal,2005,Provincial,Nova Scotia,0,,,,,,
Aéroports de Montréal,2005,Provincial,New Brunswick,0,,,,,,
Aéroports de Montréal,2005,Provincial,Manitoba,0,,,,,,
Aéroports de Montréal,2005,Provincial,British Columbia,0,,,,,,
Aéroports de Montréal,2005,Provincial,Prince Edward Island,0,,,,,,
Aéroports de Montréal,2005,Provincial,Saskatchewan,0,,,,,,
Aéroports de Montréal,2005,Provincial,Alberta,0,,,,,,
Aéroports de Montréal,2005,Provincial,Newfoundland and Labrador,0,,,,,,
Aéroports de Montréal,2005,Provincial,Yukon,0,,,,,,
Aéroports de Montréal,2005,Provincial,Northwest Territories,0,,,,,,
Aéroports de Montréal,2005,Provincial,Nunavut,0,,,,,,
Aéroports de Montréal,2005,CMA,Calgary,0,,,,,,
Aéroports de Montréal,2005,CMA,Edmonton,0,,,,,,
Aéroports de Montréal,2005,CMA,Halifax,0,,,,,,
Aéroports de Montréal,2005,CMA,Montréal,0,,613,,,,
Aéroports de Montréal,2005,CMA,Regina,0,,,,,,
Aéroports de Montréal,2005,CMA,Toronto,0,,,,,,
Aéroports de Montréal,2005,CMA,Vancouver,0,,,,,,
Aéroports de Montréal,2005,CMA,Winnipeg,0,,,,,,
