EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1507953 Ontario Inc. (Inactive),2011,National,Canada,0,,150,140,6,1,147
1507953 Ontario Inc. (Inactive),2011,National,Canada,4841,General Freight Trucking,150,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Ontario,0,,150,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Québec,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Nova Scotia,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,New Brunswick,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Manitoba,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,British Columbia,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Prince Edward Island,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Saskatchewan,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Alberta,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Newfoundland and Labrador,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Yukon,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Northwest Territories,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,Provincial,Nunavut,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Calgary,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Edmonton,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Halifax,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Montréal,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Regina,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Toronto,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Vancouver,0,,,,,,
1507953 Ontario Inc. (Inactive),2011,CMA,Winnipeg,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,National,Canada,0,,595,236,11,0,247
1641-9749 Québec Inc (Inactive),2011,National,Canada,4841,General Freight Trucking,594,,,,
1641-9749 Québec Inc (Inactive),2011,National,Canada,4842,Specialized Freight Trucking,1,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Québec,0,,595,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,New Brunswick,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Manitoba,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,British Columbia,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Prince Edward Island,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Saskatchewan,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Alberta,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Newfoundland and Labrador,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Yukon,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Northwest Territories,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,Provincial,Nunavut,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Calgary,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Edmonton,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Halifax,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Montréal,0,,545,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Regina,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Toronto,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Vancouver,0,,,,,,
1641-9749 Québec Inc (Inactive),2011,CMA,Winnipeg,0,,,,,,
4186397 Canada Inc.,2011,National,Canada,0,,1252,887,32,5,924
