EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
168886 Canada Inc.,1997,National,Canada,0,,,214,445,0,659
168886 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,659,,,,
168886 Canada Inc.,1997,Provincial,Ontario,0,,,,,,
168886 Canada Inc.,1997,Provincial,Québec,0,,,,,,
168886 Canada Inc.,1997,Provincial,Nova Scotia,0,,,,,,
168886 Canada Inc.,1997,Provincial,New Brunswick,0,,,,,,
168886 Canada Inc.,1997,Provincial,Manitoba,0,,64,,,,
168886 Canada Inc.,1997,Provincial,British Columbia,0,,47,,,,
168886 Canada Inc.,1997,Provincial,Prince Edward Island,0,,,,,,
168886 Canada Inc.,1997,Provincial,Saskatchewan,0,,249,,,,
168886 Canada Inc.,1997,Provincial,Alberta,0,,297,,,,
168886 Canada Inc.,1997,Provincial,Newfoundland and Labrador,0,,,,,,
168886 Canada Inc.,1997,Provincial,Yukon,0,,,,,,
168886 Canada Inc.,1997,Provincial,Northwest Territories,0,,,,,,
168886 Canada Inc.,1997,Provincial,Nunavut,0,,,,,,
168886 Canada Inc.,1997,CMA,Calgary,0,,,,,,
168886 Canada Inc.,1997,CMA,Edmonton,0,,,,,,
168886 Canada Inc.,1997,CMA,Halifax,0,,,,,,
168886 Canada Inc.,1997,CMA,Montréal,0,,,,,,
168886 Canada Inc.,1997,CMA,Regina,0,,,,,,
168886 Canada Inc.,1997,CMA,Toronto,0,,,,,,
168886 Canada Inc.,1997,CMA,Vancouver,0,,,,,,
168886 Canada Inc.,1997,CMA,Winnipeg,0,,,,,,
4186397 Canada Inc.,1997,National,Canada,0,,,1007,143,2,1152
4186397 Canada Inc.,1997,National,Canada,456,Truck Transport Industries,1187,,,,
4186397 Canada Inc.,1997,Provincial,Ontario,0,,181,,,,
4186397 Canada Inc.,1997,Provincial,Québec,0,,38,,,,
4186397 Canada Inc.,1997,Provincial,Nova Scotia,0,,,,,,
