EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,,,Overall,187,149,38,,,,1,1,,2,2,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"Under $15,000",13,8,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",46,32,14,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",27,19,8,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",21,15,6,,,,1,1,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",12,9,3,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",8,8,,,,,,,,1,1,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",11,11,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",18,16,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",15,15,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",8,8,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",5,5,,,,,,,,1,1,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,National,Canada,0,,"$100,000 and over",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,116,88,28,,,,1,1,,1,1,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",11,6,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",29,18,11,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",16,12,4,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",11,6,5,,,,1,1,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",4,4,,,,,,,,1,1,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",4,4,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",13,12,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",10,10,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",4,4,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,,,Overall,8,3,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,0,,"$ 17,500 - $19,999",2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,0,,"$ 20,000 - $22,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,National,Canada,0,,"$ 22,500 - $24,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,8,3,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $17,499",3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 17,500 - $19,999",2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $22,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 22,500 - $24,999",1,1,,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,,,Overall,639,390,249,3,2,1,10,4,6,9,4,5
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"Under $15,000",7,1,6,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",37,8,29,,,,,,,1,,1
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",104,26,78,,,,1,,1,2,,2
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",93,33,60,1,,1,1,1,,2,2,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",159,111,48,1,1,,5,2,3,3,2,1
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",20,14,6,,,,,,,1,,1
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",24,16,8,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",43,38,5,,,,1,1,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",44,41,3,1,1,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",47,43,4,,,,1,,1,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",19,19,,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",33,31,2,,,,1,,1,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",3,3,,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,National,Canada,0,,"$100,000 and over",6,6,,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,,,Overall,604,382,222,2,1,1,7,3,4,9,4,5
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"Under $15,000",7,1,6,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 15,000 - $19,999",37,8,29,,,,,,,1,,1
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 20,000 - $24,999",103,26,77,,,,1,,1,2,,2
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 25,000 - $29,999",86,32,54,1,,1,1,1,,2,2,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 30,000 - $34,999",140,109,31,,,,2,1,1,3,2,1
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 35,000 - $37,499",19,14,5,,,,,,,1,,1
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 37,500 - $39,999",21,14,7,,,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 40,000 - $44,999",41,37,4,,,,1,1,,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 45,000 - $49,999",43,40,3,1,1,,,,,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 50,000 - $59,999",47,43,4,,,,1,,1,,,
Jazz Aviation L.P.,1997,Full-Time,Provincial,Nova Scotia,0,,"$ 60,000 - $69,999",18,18,,,,,,,,,,
