EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,,,Overall,249,190,59,5,2,3,2,2,,2,1,1
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"Under $15,000",7,6,1,,,,1,1,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",49,25,24,2,,2,,,,1,,1
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",45,31,14,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",34,23,11,2,1,1,1,1,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",27,21,6,,,,,,,1,1,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",8,8,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",9,9,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",15,13,2,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",17,17,,1,1,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",28,27,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,National,Canada,0,,"$100,000 and over",3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,186,138,48,5,2,3,1,1,,1,1,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",35,16,19,2,,2,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",32,20,12,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",26,17,9,2,1,1,1,1,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",22,18,4,,,,,,,1,1,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",7,7,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",10,8,2,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",14,14,,1,1,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",26,25,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,,,Overall,18,14,4,2,2,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"Under $5,000",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"$  5,000 - $ 7,499",2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"$  7,500 - $ 9,999",5,3,2,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"$ 10,000 - $12,499",5,5,,1,1,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",3,3,,1,1,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,18,14,4,2,2,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"Under $5,000",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  5,000 - $ 7,499",2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  7,500 - $ 9,999",5,3,2,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 10,000 - $12,499",5,5,,1,1,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1999,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $17,499",3,3,,1,1,,,,,,,
Jazz Aviation L.P.,1999,Full-Time,National,Canada,,,Overall,1098,710,388,5,3,2,13,7,6,18,11,7
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"Under $15,000",3,1,2,,,,,,,,,
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 15,000 - $19,999",7,3,4,,,,1,1,,1,,1
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 20,000 - $24,999",62,24,38,,,,1,1,,1,1,
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 25,000 - $29,999",172,91,81,,,,1,,1,4,1,3
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 30,000 - $34,999",248,65,183,1,,1,4,2,2,4,2,2
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 35,000 - $37,499",54,40,14,,,,,,,1,1,
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 37,500 - $39,999",36,23,13,,,,1,1,,1,1,
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 40,000 - $44,999",138,102,36,1,,1,1,,1,2,1,1
Jazz Aviation L.P.,1999,Full-Time,National,Canada,451,Air Transport Industries,"$ 45,000 - $49,999",33,28,5,1,1,,,,,1,1,
