EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,,,Overall,747,509,238,47,23,24,5,3,2,24,19,5
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"Under $15,000",6,2,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",39,18,21,7,2,5,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",91,30,61,10,4,6,1,1,,3,,3
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",124,63,61,13,7,6,1,,1,2,,2
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",63,41,22,3,2,1,,,,1,1,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",42,29,13,1,,1,1,,1,4,4,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",49,36,13,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",61,47,14,2,,2,2,2,,1,1,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",68,54,14,2,2,,,,,6,6,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",58,54,4,3,3,,,,,2,2,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",83,75,8,1,1,,,,,4,4,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",40,39,1,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2011,Full-Time,National,Canada,0,,"$100,000 and over",22,21,1,,,,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,633,425,208,45,22,23,5,3,2,19,17,2
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",6,2,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",38,17,21,7,2,5,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",72,27,45,10,4,6,1,1,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",113,56,57,13,7,6,1,,1,2,,2
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",51,32,19,3,2,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",34,24,10,1,,1,1,,1,4,4,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",45,33,12,1,,1,,,,,,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",48,35,13,1,,1,2,2,,1,1,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",60,46,14,2,2,,,,,6,6,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",49,45,4,2,2,,,,,2,2,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",59,53,6,1,1,,,,,3,3,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 85,000 - $99,999",36,35,1,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2011,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",21,20,1,,,,,,,,,
Provincial Aerospace Ltd.,2011,Part-Time,National,Canada,,,Overall,36,10,26,11,4,7,,,,2,,2
Provincial Aerospace Ltd.,2011,Part-Time,National,Canada,0,,"$ 10,000 - $12,499",25,8,17,8,3,5,,,,1,,1
Provincial Aerospace Ltd.,2011,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",7,1,6,2,,2,,,,1,,1
Provincial Aerospace Ltd.,2011,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",2,1,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2011,Part-Time,National,Canada,0,,"$ 22,500 - $24,999",1,,1,,,,,,,,,
