EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2003,National,Canada,,,Overall,Full-Time,73,29,44,10,3,7,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Middle and Other Managers,Full-Time,8,5,3,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Professionals,Full-Time,6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,5,5,,1,1,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Clerical Personnel,Full-Time,8,2,6,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,31,1,30,7,1,6,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,11,10,1,2,1,1,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,,,Overall,Part-Time,9,1,8,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,8,,8,,,,,,,,,
Provincial Aerospace Ltd.,2003,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,63,24,39,10,3,7,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,7,4,3,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,5,5,,1,1,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,8,2,6,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,26,1,25,7,1,6,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,7,6,1,2,1,1,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,9,1,8,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,8,,8,,,,,,,,,
Provincial Aerospace Ltd.,2003,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,,,Overall,Full-Time,40,21,19,1,1,,,,,6,3,3
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Middle and Other Managers,Full-Time,2,,2,,,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Professionals,Full-Time,3,3,,,,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Supervisors,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Supervisors: Crafts and Trades,Full-Time,2,2,,1,1,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,1,,1
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,3,3,,,,,,,,,,
Jazz Aviation L.P.,2003,National,Canada,451,Air Transport Industries,Clerical Personnel,Full-Time,13,5,8,,,,,,,3,1,2
