EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2015,National,Canada,,,Overall,Full-Time,158,85,73,15,8,7,,,,9,8,1
Provincial Aerospace Ltd.,2015,National,Canada,0,,Middle and Other Managers,Full-Time,10,7,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Professionals,Full-Time,15,13,2,2,1,1,,,,1,1,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,17,14,3,1,1,,,,,2,2,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,4,1,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,16,14,2,,,,,,,2,2,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Clerical Personnel,Full-Time,9,6,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,57,3,54,7,1,6,,,,1,,1
Provincial Aerospace Ltd.,2015,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,12,12,,3,3,,,,,2,2,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Other Sales and Service Personnel,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Other Manual Workers,Full-Time,15,12,3,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2015,National,Canada,,,Overall,Part-Time,11,3,8,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,10,3,7,,,,,,,,,
Provincial Aerospace Ltd.,2015,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,143,75,68,15,8,7,,,,7,6,1
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,8,5,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,13,11,2,2,1,1,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,14,11,3,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Administrative and Senior Clerical Personnel,Full-Time,4,1,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,15,13,2,,,,,,,2,2,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,9,6,3,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,51,2,49,7,1,6,,,,1,,1
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,12,12,,3,3,,,,,2,2,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,14,11,3,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,8,2,6,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,7,2,5,,,,,,,,,
Provincial Aerospace Ltd.,2015,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2015,National,Canada,,,Overall,Full-Time,394,221,173,6,2,4,4,2,2,75,42,33
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,5,5,,,,,,,,2,2,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,6,6,,,,,,,,,,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,178,159,19,,,,1,1,,20,19,1
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Supervisors,Full-Time,4,3,1,,,,,,,1,,1
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,3,2,1,,,,,,,3,2,1
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,8,8,,1,1,,,,,4,4,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,12,7,5,,,,1,,1,4,4,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,168,22,146,5,1,4,2,1,1,35,5,30
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,7,7,,,,,,,,6,6,
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2015,National,Canada,,,Overall,Part-Time,174,53,121,16,3,13,9,1,8,35,18,17
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Part-Time,2,,2,,,,,,,1,,1
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,147,31,116,14,1,13,8,,8,27,11,16
Jazz Aviation L.P.,2015,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Part-Time,25,22,3,2,2,,1,1,,7,7,
Jazz Aviation L.P.,2015,Provincial,Ontario,,,Overall,Full-Time,50,47,3,,,,,,,11,11,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Senior Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,1,1,,,,,,,,1,1,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,44,41,3,,,,,,,7,7,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,2,2,,,,,,,,2,2,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,1,1,
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Ontario,,,Overall,Part-Time,16,5,11,2,,2,,,,4,3,1
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,12,2,10,2,,2,,,,3,2,1
Jazz Aviation L.P.,2015,Provincial,Ontario,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Part-Time,4,3,1,,,,,,,1,1,
Jazz Aviation L.P.,2015,Provincial,Québec,,,Overall,Full-Time,25,22,3,,,,,,,2,2,
Jazz Aviation L.P.,2015,Provincial,Québec,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,25,22,3,,,,,,,2,2,
Jazz Aviation L.P.,2015,Provincial,Québec,,,Overall,Part-Time,16,5,11,,,,,,,2,1,1
Jazz Aviation L.P.,2015,Provincial,Québec,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,16,5,11,,,,,,,2,1,1
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,,,Overall,Full-Time,32,26,6,1,1,,1,,1,5,5,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,3,3,,,,,,,,1,1,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Professionals,Full-Time,5,5,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,10,8,2,,,,,,,2,2,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Supervisors,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,5,5,,1,1,,,,,1,1,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,6,2,4,,,,1,,1,1,1,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,,,Overall,Part-Time,13,4,9,,,,1,,1,5,3,2
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Clerical Personnel,Part-Time,2,,2,,,,,,,1,,1
Jazz Aviation L.P.,2015,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,11,4,7,,,,1,,1,4,3,1
Jazz Aviation L.P.,2015,Provincial,British Columbia,,,Overall,Full-Time,29,25,4,1,,1,1,1,,6,4,2
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Professionals,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,22,22,,,,,1,1,,4,4,
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Supervisors,Full-Time,2,1,1,,,,,,,1,,1
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,1,,1
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,2,,2,1,,1,,,,,,
Jazz Aviation L.P.,2015,Provincial,British Columbia,,,Overall,Part-Time,50,25,25,4,2,2,2,1,1,6,6,
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,33,9,24,2,,2,1,,1,2,2,
Jazz Aviation L.P.,2015,Provincial,British Columbia,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Part-Time,17,16,1,2,2,,1,1,,4,4,
Jazz Aviation L.P.,2015,Provincial,Alberta,,,Overall,Full-Time,255,101,154,4,1,3,2,1,1,48,20,28
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,77,66,11,,,,,,,5,4,1
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Supervisors,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,2,2,,,,,,,,2,2,
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,5,4,1,,,,,,,3,3,
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,163,22,141,4,1,3,2,1,1,32,5,27
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,6,6,,,,,,,,6,6,
Jazz Aviation L.P.,2015,Provincial,Alberta,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
