EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2014,National,Canada,,,Overall,Full-Time,295,161,134,37,15,22,9,3,6,23,20,3
Provincial Aerospace Ltd.,2014,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Middle and Other Managers,Full-Time,15,5,10,,,,1,,1,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Professionals,Full-Time,23,16,7,1,,1,,,,6,6,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,52,46,6,1,1,,,,,5,5,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Supervisors,Full-Time,3,1,2,2,1,1,1,,1,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,6,,6,,,,,,,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,29,27,2,2,2,,1,1,,5,5,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Clerical Personnel,Full-Time,24,7,17,3,1,2,1,,1,1,1,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,74,6,68,15,,15,3,,3,4,1,3
Provincial Aerospace Ltd.,2014,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,44,35,9,9,7,2,1,1,,1,1,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Other Manual Workers,Full-Time,22,15,7,4,3,1,1,1,,1,1,
Provincial Aerospace Ltd.,2014,National,Canada,,,Overall,Part-Time,15,6,9,5,2,3,,,,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,11,2,9,3,,3,,,,,,
Provincial Aerospace Ltd.,2014,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,4,4,,2,2,,,,,,,
Provincial Aerospace Ltd.,2014,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,238,127,111,35,14,21,9,3,6,15,14,1
Provincial Aerospace Ltd.,2014,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
