EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,,,Overall,595,377,218,41,24,17,5,2,3,7,7,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"Under $15,000",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",7,4,3,2,1,1,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",104,42,62,19,11,8,4,1,3,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",95,34,61,8,3,5,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",96,57,39,2,1,1,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",38,31,7,2,2,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",22,13,9,,,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",42,26,16,2,,2,1,1,,1,1,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",33,29,4,,,,,,,2,2,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",49,44,5,2,2,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",46,40,6,2,2,,,,,3,3,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",40,37,3,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",14,12,2,,,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,National,Canada,0,,"$100,000 and over",8,8,,,,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,514,322,192,41,24,17,3,2,1,6,6,
Provincial Aerospace Ltd.,2008,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2008,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",4,2,2,2,1,1,,,,,,
