EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
591182 Ontario Ltd.,2008,National,Canada,0,,259,192,21,0,213
591182 Ontario Ltd.,2008,National,Canada,4841,General Freight Trucking,259,,,,
591182 Ontario Ltd.,2008,Provincial,Ontario,0,,259,,,,
591182 Ontario Ltd.,2008,Provincial,Québec,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Nova Scotia,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,New Brunswick,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Manitoba,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,British Columbia,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Prince Edward Island,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Saskatchewan,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Alberta,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Newfoundland and Labrador,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Yukon,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Northwest Territories,0,,,,,,
591182 Ontario Ltd.,2008,Provincial,Nunavut,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Calgary,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Edmonton,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Halifax,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Montréal,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Regina,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Toronto,0,,17,,,,
591182 Ontario Ltd.,2008,CMA,Vancouver,0,,,,,,
591182 Ontario Ltd.,2008,CMA,Winnipeg,0,,,,,,
682439 Ontario Inc. (inactive),2008,National,Canada,0,,158,124,22,0,146
682439 Ontario Inc. (inactive),2008,National,Canada,4841,General Freight Trucking,158,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Ontario,0,,158,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Québec,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Nova Scotia,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,New Brunswick,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Manitoba,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,British Columbia,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Prince Edward Island,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Saskatchewan,0,,,,,,
682439 Ontario Inc. (inactive),2008,Provincial,Alberta,0,,,,,,
