EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1507953 Ontario Inc. (Inactive),2013,National,Canada,0,,149,138,5,1,144
1507953 Ontario Inc. (Inactive),2013,National,Canada,4841,General Freight Trucking,149,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Ontario,0,,149,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Québec,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Nova Scotia,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,New Brunswick,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Manitoba,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,British Columbia,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Prince Edward Island,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Saskatchewan,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Alberta,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Newfoundland and Labrador,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Yukon,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Northwest Territories,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,Provincial,Nunavut,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Calgary,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Edmonton,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Halifax,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Montréal,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Regina,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Toronto,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Vancouver,0,,,,,,
1507953 Ontario Inc. (Inactive),2013,CMA,Winnipeg,0,,,,,,
1641-9749 Québec Inc (Inactive),2013,National,Canada,0,,260,234,17,0,251
1641-9749 Québec Inc (Inactive),2013,National,Canada,4841,General Freight Trucking,259,,,,
