EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2001,National,Canada,,,Overall,Full-Time,60,36,24,5,3,2,,,,1,,1
Provincial Aerospace Ltd.,2001,National,Canada,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Professionals,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Supervisors,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,12,12,,1,1,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Clerical Personnel,Full-Time,7,,7,,,,,,,1,,1
Provincial Aerospace Ltd.,2001,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,14,,14,2,,2,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,12,12,,2,2,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Other Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,,,Overall,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,52,30,22,3,2,1,,,,1,,1
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,11,11,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,6,,6,,,,,,,1,,1
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,13,,13,1,,1,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,8,8,,2,2,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,,,Overall,Full-Time,46,31,15,1,,1,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Senior Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Professionals,Full-Time,2,,2,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Semi-Professionals and Technicians,Full-Time,19,16,3,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Supervisors,Full-Time,3,2,1,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,7,7,,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Clerical Personnel,Full-Time,7,2,5,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Intermediate Sales and Service Personnel,Full-Time,6,2,4,1,,1,,,,,,
Jazz Aviation L.P.,2001,National,Canada,,,Overall,Part-Time,6,2,4,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Intermediate Sales and Service Personnel,Part-Time,3,1,2,,,,,,,,,
Jazz Aviation L.P.,2001,National,Canada,451,Air Transport Industries,Semi-Skilled Manual Workers,Part-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,,,Overall,Full-Time,18,12,6,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Professionals,Full-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Semi-Professionals and Technicians,Full-Time,9,7,2,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Supervisors,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,3,3,,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Intermediate Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,,,Overall,Part-Time,5,2,3,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Intermediate Sales and Service Personnel,Part-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Québec,451,Air Transport Industries,Semi-Skilled Manual Workers,Part-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,,,Overall,Full-Time,28,19,9,1,,1,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Senior Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Professionals,Full-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Semi-Professionals and Technicians,Full-Time,10,9,1,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Supervisors,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Skilled Crafts and Trades Workers,Full-Time,4,4,,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Clerical Personnel,Full-Time,6,2,4,,,,,,,,,
Jazz Aviation L.P.,2001,Provincial,Nova Scotia,451,Air Transport Industries,Intermediate Sales and Service Personnel,Full-Time,4,1,3,1,,1,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,,,Overall,Full-Time,45,33,12,5,5,,1,,1,3,1,2
CHC Helicopter Group of Companies,2001,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Middle and Other Managers,Full-Time,6,6,,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Professionals,Full-Time,1,1,,,,,,,,1,1,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,7,6,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Supervisors,Full-Time,1,,1,,,,1,,1,1,,1
CHC Helicopter Group of Companies,2001,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,4,3,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Clerical Personnel,Full-Time,9,4,5,,,,,,,1,,1
CHC Helicopter Group of Companies,2001,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,12,10,2,5,5,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Other Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,,,Overall,Part-Time,2,1,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Part-Time,1,1,,,,,,,,,,
CHC Helicopter Group of Companies,2001,National,Canada,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,,,Overall,Full-Time,22,15,7,,,,,,,2,1,1
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Professionals,Full-Time,1,1,,,,,,,,1,1,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Semi-Professionals and Technicians,Full-Time,6,6,,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Skilled Crafts and Trades Workers,Full-Time,4,3,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Clerical Personnel,Full-Time,7,3,4,,,,,,,1,,1
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,,,Overall,Part-Time,2,1,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Skilled Crafts and Trades Workers,Part-Time,1,1,,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,British Columbia,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,20,16,4,5,5,,1,,1,1,,1
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,4,4,,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,,1,,,,1,,1,1,,1
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,1,,1,,,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,12,10,2,5,5,,,,,,,
CHC Helicopter Group of Companies,2001,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,,,Overall,Full-Time,24,9,15,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Professionals,Full-Time,1,,1,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,8,7,1,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Clerical Personnel,Full-Time,14,2,12,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,,,Overall,Part-Time,7,3,4,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Persona Communications Corp.,2001,National,Canada,0,,Clerical Personnel,Part-Time,5,1,4,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,,,Overall,Full-Time,5,2,3,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,0,,Skilled Crafts and Trades Workers,Full-Time,2,1,1,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,0,,Clerical Personnel,Full-Time,3,1,2,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,,,Overall,Part-Time,3,2,1,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,0,,Semi-Professionals and Technicians,Part-Time,2,2,,,,,,,,,,
Persona Communications Corp.,2001,Provincial,Ontario,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,,,Overall,Full-Time,59,25,34,1,,1,,,,6,2,4
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Senior Managers,Full-Time,5,5,,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Middle and Other Managers,Full-Time,5,3,2,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Professionals,Full-Time,12,7,5,,,,,,,2,,2
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,2,2,,,,,,,,1,1,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Supervisors,Full-Time,3,1,2,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,6,1,5,,,,,,,2,1,1
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,2,1,1,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Clerical Personnel,Full-Time,23,5,18,1,,1,,,,1,,1
Inmarsat Solutions (Canada) Inc.,2001,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,37,17,20,1,,1,,,,1,1,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,9,7,2,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,2,2,,,,,,,,1,1,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,2,,2,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,2,1,1,,,,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,18,4,14,1,,1,,,,,,
Inmarsat Solutions (Canada) Inc.,2001,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Standard Aero Limited,2001,National,Canada,,,Overall,Full-Time,70,49,21,1,,1,1,,1,13,8,5
Standard Aero Limited,2001,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,1,1,
Standard Aero Limited,2001,National,Canada,0,,Middle and Other Managers,Full-Time,2,1,1,,,,,,,,,
Standard Aero Limited,2001,National,Canada,0,,Professionals,Full-Time,2,,2,1,,1,,,,,,
Standard Aero Limited,2001,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,8,7,1,,,,,,,1,1,
Standard Aero Limited,2001,National,Canada,0,,Supervisors,Full-Time,2,,2,,,,,,,,,
Standard Aero Limited,2001,National,Canada,0,,Skilled Sales and Service Personnel,Full-Time,3,1,2,,,,,,,,,
Standard Aero Limited,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,27,24,3,,,,,,,3,2,1
Standard Aero Limited,2001,National,Canada,0,,Clerical Personnel,Full-Time,16,6,10,,,,1,,1,6,2,4
Standard Aero Limited,2001,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,,,,,,
Standard Aero Limited,2001,National,Canada,0,,Other Sales and Service Personnel,Full-Time,2,2,,,,,,,,1,1,
Standard Aero Limited,2001,National,Canada,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,1,1,
Standard Aero Limited,2001,Provincial,British Columbia,,,Overall,Full-Time,70,49,21,1,,1,1,,1,13,8,5
Standard Aero Limited,2001,Provincial,British Columbia,0,,Senior Managers,Full-Time,2,2,,,,,,,,1,1,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Middle and Other Managers,Full-Time,2,1,1,,,,,,,,,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Professionals,Full-Time,2,,2,1,,1,,,,,,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Semi-Professionals and Technicians,Full-Time,8,7,1,,,,,,,1,1,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Supervisors,Full-Time,2,,2,,,,,,,,,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Skilled Sales and Service Personnel,Full-Time,3,1,2,,,,,,,,,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Skilled Crafts and Trades Workers,Full-Time,27,24,3,,,,,,,3,2,1
Standard Aero Limited,2001,Provincial,British Columbia,0,,Clerical Personnel,Full-Time,16,6,10,,,,1,,1,6,2,4
Standard Aero Limited,2001,Provincial,British Columbia,0,,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,,,,,,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Other Sales and Service Personnel,Full-Time,2,2,,,,,,,,1,1,
Standard Aero Limited,2001,Provincial,British Columbia,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,1,1,
Bell Aliant Inc. (Inactive),2001,National,Canada,,,Overall,Full-Time,278,169,109,2,1,1,13,9,4,3,,3
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Senior Managers,Full-Time,7,4,3,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Middle and Other Managers,Full-Time,101,68,33,,,,5,3,2,1,,1
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Professionals,Full-Time,54,33,21,,,,2,2,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Semi-Professionals and Technicians,Full-Time,13,8,5,,,,,,,1,,1
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Supervisors,Full-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Supervisors: Crafts and Trades,Full-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,1,,1
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Skilled Sales and Service Personnel,Full-Time,3,1,2,1,,1,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Skilled Crafts and Trades Workers,Full-Time,24,24,,,,,2,2,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Clerical Personnel,Full-Time,38,16,22,,,,2,1,1,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Full-Time,33,14,19,1,1,,1,,1,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,1,1,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,,,Overall,Part-Time,29,14,15,,,,,,,3,2,1
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Professionals,Part-Time,2,,2,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Clerical Personnel,Part-Time,17,10,7,,,,,,,3,2,1
Bell Aliant Inc. (Inactive),2001,National,Canada,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Part-Time,9,4,5,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,,,Overall,Full-Time,72,42,30,,,,4,3,1,2,,2
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Senior Managers,Full-Time,2,1,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Middle and Other Managers,Full-Time,37,23,14,,,,,,,1,,1
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Professionals,Full-Time,13,6,7,,,,1,1,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Semi-Professionals and Technicians,Full-Time,1,1,,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Supervisors,Full-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,1,,1
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Skilled Crafts and Trades Workers,Full-Time,2,2,,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Clerical Personnel,Full-Time,8,7,1,,,,1,1,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Full-Time,5,1,4,,,,1,,1,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,1,1,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,,,Overall,Part-Time,24,13,11,,,,,,,3,2,1
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Professionals,Part-Time,2,,2,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Clerical Personnel,Part-Time,15,10,5,,,,,,,3,2,1
Bell Aliant Inc. (Inactive),2001,Provincial,Nova Scotia,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Part-Time,6,3,3,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,,,Overall,Full-Time,159,99,60,2,1,1,7,4,3,1,,1
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Senior Managers,Full-Time,2,1,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Middle and Other Managers,Full-Time,47,34,13,,,,5,3,2,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Professionals,Full-Time,27,18,9,,,,1,1,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Semi-Professionals and Technicians,Full-Time,11,7,4,,,,,,,1,,1
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Skilled Sales and Service Personnel,Full-Time,3,1,2,1,,1,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Skilled Crafts and Trades Workers,Full-Time,17,17,,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Clerical Personnel,Full-Time,24,8,16,,,,1,,1,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Full-Time,28,13,15,1,1,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,,,Overall,Part-Time,3,,3,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Clerical Personnel,Part-Time,2,,2,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,New Brunswick,482,Telecommunication Carriers Industry,Intermediate Sales and Service Personnel,Part-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Prince Edward Island,,,Overall,Full-Time,5,4,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Prince Edward Island,482,Telecommunication Carriers Industry,Professionals,Full-Time,4,4,,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Prince Edward Island,482,Telecommunication Carriers Industry,Supervisors: Crafts and Trades,Full-Time,1,,1,,,,,,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,42,24,18,,,,2,2,,,,
Bell Aliant Inc. (Inactive),2001,Provincial,Newfoundland and Labrador,482,Telecommunication Carriers Industry,Senior Managers,Full-Time,3,2,1,,,,,,,,,
