EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,,,Overall,360,250,110,17,8,9,3,2,1,4,3,1
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"Under $15,000",2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",85,27,58,8,1,7,2,1,1,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",62,49,13,2,1,1,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",59,41,18,3,2,1,1,1,,1,,1
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",30,23,7,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",28,23,5,,,,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",6,6,,,,,,,,1,1,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",18,12,6,,,,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",18,18,,1,1,,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",26,26,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",14,13,1,2,2,,,,,1,1,
