EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,,,Overall,731,478,253,50,28,22,27,17,10,34,24,10
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"Under $15,000",4,1,3,,,,,,,1,,1
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",2,,2,1,,1,,,,,,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",13,1,12,3,1,2,,,,,,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",72,33,39,9,6,3,2,1,1,6,2,4
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",99,33,66,8,3,5,6,3,3,5,1,4
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",67,37,30,3,1,2,3,1,2,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",34,15,19,3,2,1,1,,1,,,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",67,39,28,6,2,4,2,,2,2,2,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",41,29,12,3,2,1,2,1,1,2,1,1
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",69,49,20,2,,2,4,4,,2,2,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",82,72,10,4,3,1,4,4,,8,8,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",94,85,9,2,2,,,,,4,4,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",50,49,1,4,4,,2,2,,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,National,Canada,0,,"$100,000 and over",37,35,2,2,2,,1,1,,2,2,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,599,387,212,48,27,21,26,16,10,22,17,5
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",4,1,3,,,,,,,1,,1
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",13,1,12,3,1,2,,,,,,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",60,27,33,8,5,3,2,1,1,4,2,2
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",80,28,52,8,3,5,6,3,3,3,1,2
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",57,29,28,3,1,2,3,1,2,,,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",28,14,14,3,2,1,1,,1,,,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",54,30,24,6,2,4,2,,2,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",36,26,10,3,2,1,2,1,1,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",56,40,16,1,,1,4,4,,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",71,62,9,4,3,1,4,4,,7,7,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",69,62,7,2,2,,,,,3,3,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 85,000 - $99,999",43,42,1,4,4,,1,1,,1,1,
Provincial Aerospace Ltd.,2014,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",27,25,2,2,2,,1,1,,,,
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,,,Overall,33,10,23,7,3,4,,,,2,,2
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",6,4,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",2,1,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,0,,"$ 22,500 - $24,999",2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,0,,"$ 25,000 - $29,999",13,1,12,2,1,1,,,,1,,1
Provincial Aerospace Ltd.,2014,Part-Time,National,Canada,0,,"$ 30,000 - $34,999",10,4,6,2,1,1,,,,1,,1
Provincial Aerospace Ltd.,2014,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,28,9,19,7,3,4,,,,1,,1
Provincial Aerospace Ltd.,2014,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",6,4,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2014,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $17,499",2,1,1,1,1,,,,,,,
Provincial Aerospace Ltd.,2014,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 22,500 - $24,999",1,,1,,,,,,,,,
