EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2017,National,Canada,,,Overall,Full-Time,218,127,91,11,5,6,3,3,,8,6,2
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,21,13,8,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,27,19,8,1,1,,,,,3,2,1
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,45,37,8,1,,1,,,,1,1,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,20,20,,,,,1,1,,1,1,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,19,7,12,,,,,,,1,1,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,55,6,49,6,1,5,,,,1,1,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,6,6,,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,19,16,3,1,1,,2,2,,1,,1
Provincial Aerospace Ltd.,2017,National,Canada,,,Overall,Part-Time,10,2,8,1,,1,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2017,National,Canada,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,9,1,8,1,,1,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,,,Overall,Full-Time,29,24,5,,,,1,1,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Professionals,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,3,3,,,,,,,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Nova Scotia,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,6,6,,,,,1,1,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,160,90,70,9,4,5,2,2,,4,3,1
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,12,7,5,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Professionals,Full-Time,19,13,6,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,34,27,7,1,,1,,,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Skilled Crafts and Trades Workers,Full-Time,18,18,,,,,1,1,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Clerical Personnel,Full-Time,16,4,12,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Full-Time,41,6,35,5,1,4,,,,1,1,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Semi-Skilled Manual Workers,Full-Time,4,4,,1,1,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Other Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Other Manual Workers,Full-Time,13,10,3,1,1,,1,1,,1,,1
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,8,2,6,1,,1,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Middle and Other Managers,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2017,Provincial,Newfoundland and Labrador,4811,Scheduled Air Transportation,Intermediate Sales and Service Personnel,Part-Time,7,1,6,1,,1,,,,,,
Jazz Aviation L.P.,2017,National,Canada,,,Overall,Full-Time,556,387,169,6,4,2,11,6,5,107,77,30
