EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1998,National,Canada,,,Overall,Full-Time,47,30,17,2,2,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Senior Managers,Full-Time,2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Professionals,Full-Time,8,7,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,13,11,2,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Supervisors,Full-Time,3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Clerical Personnel,Full-Time,11,2,9,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Other Manual Workers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,,,Overall,Part-Time,11,6,5,,,,,,,2,1,1
Provincial Aerospace Ltd.,1998,National,Canada,0,,Clerical Personnel,Part-Time,8,3,5,,,,,,,1,,1
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,3,3,,,,,,,,1,1,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,36,23,13,2,2,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,1,1,,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,8,7,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,6,6,,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,2,1,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,10,2,8,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,3,1,2,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,5,1,4,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Part-Time,5,1,4,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,,,Overall,Full-Time,102,65,37,,,,1,,1,1,,1
Jazz Aviation L.P.,1998,National,Canada,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Professionals,Full-Time,2,1,1,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,46,42,4,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Supervisors,Full-Time,1,,1,,,,,,,,,
