EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1998,National,Canada,,,Overall,Full-Time,56,44,12,,,,,,,2,2,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Professionals,Full-Time,5,3,2,,,,,,,1,1,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,22,21,1,,,,,,,1,1,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,7,7,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Clerical Personnel,Full-Time,8,2,6,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Other Manual Workers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,,,Overall,Part-Time,5,2,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Clerical Personnel,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,37,27,10,,,,,,,1,1,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,5,3,2,,,,,,,1,1,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,12,11,1,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,6,2,4,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,5,2,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,3,,3,,,,,,,,,
Provincial Aerospace Ltd.,1998,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,,,Overall,Full-Time,49,34,15,1,1,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Middle and Other Managers,Full-Time,3,2,1,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Professionals,Full-Time,3,2,1,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,25,25,,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Clerical Personnel,Full-Time,4,2,2,,,,,,,,,
Jazz Aviation L.P.,1998,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,11,2,9,1,1,,,,,,,
