EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2009,Part-Time,National,Canada,0,,"$ 25,000 - $29,999",5,,5,1,,1,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,National,Canada,0,,"$ 50,000 and over",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,40,4,36,10,1,9,,,,1,,1
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  7,500 - $ 9,999",2,1,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 10,000 - $12,499",15,1,14,3,1,2,,,,1,,1
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",2,,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 17,500 - $19,999",2,,2,,,,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $22,499",3,,3,1,,1,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 22,500 - $24,999",10,1,9,2,,2,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",5,,5,1,,1,,,,,,
Provincial Aerospace Ltd.,2009,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 and over",1,1,,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,National,Canada,,,Overall,4226,2912,1314,63,42,21,118,85,33,434,301,133
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"Under $15,000",5,4,1,2,2,,,,,2,1,1
