EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1641-9749 Québec Inc (Inactive),2001,National,Canada,0,,,275,30,0,305
1641-9749 Québec Inc (Inactive),2001,National,Canada,456,Truck Transport Industries,317,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Québec,0,,317,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,New Brunswick,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Manitoba,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,British Columbia,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Prince Edward Island,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Saskatchewan,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Alberta,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Newfoundland and Labrador,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Yukon,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Northwest Territories,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,Provincial,Nunavut,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Calgary,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Edmonton,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Halifax,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Montréal,0,,288,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Regina,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Toronto,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Vancouver,0,,,,,,
1641-9749 Québec Inc (Inactive),2001,CMA,Winnipeg,0,,,,,,
4186397 Canada Inc.,2001,National,Canada,0,,,830,114,0,944
4186397 Canada Inc.,2001,National,Canada,456,Truck Transport Industries,977,,,,
4186397 Canada Inc.,2001,Provincial,Ontario,0,,4,,,,
